[2024-04-08T04:35:43.562+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-08T04:31:17.764409+00:00 [queued]>
[2024-04-08T04:35:43.569+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-08T04:31:17.764409+00:00 [queued]>
[2024-04-08T04:35:43.569+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-04-08T04:35:43.591+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): convert_bill_files> on 2024-04-08 04:31:17.764409+00:00
[2024-04-08T04:35:43.623+0000] {standard_task_runner.py:60} INFO - Started process 198 to run task
[2024-04-08T04:35:43.631+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'convert_bill_files', 'manual__2024-04-08T04:31:17.764409+00:00', '--job-id', '8', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmp6zzoi5si']
[2024-04-08T04:35:43.642+0000] {standard_task_runner.py:88} INFO - Job 8: Subtask convert_bill_files
[2024-04-08T04:35:43.712+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-08T04:31:17.764409+00:00 [running]> on host f1a9730d1028
[2024-04-08T04:35:43.773+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='convert_bill_files' AIRFLOW_CTX_EXECUTION_DATE='2024-04-08T04:31:17.764409+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-08T04:31:17.764409+00:00'
[2024-04-08T04:35:43.799+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres39.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres39.json
[2024-04-08T04:35:43.807+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres7.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres7.json
[2024-04-08T04:35:43.823+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres88.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres88.json
[2024-04-08T04:35:43.840+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres74.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres74.json
[2024-04-08T04:35:43.852+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres70.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres70.json
[2024-04-08T04:35:43.865+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres71.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres71.json
[2024-04-08T04:35:43.877+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres98.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres98.json
[2024-04-08T04:35:43.891+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres42.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres42.json
